timestamp,rms_x,rms_y,rms_z,std_x,std_y,std_z,label
2026-08-02 23:48:44,1.7728,2.975,10.3985,0.1709,1.1246,0.1802,NORMAL
2026-08-02 23:48:45,1.7644,2.9249,10.3298,0.1844,1.1071,0.1771,NORMAL
2026-08-02 23:48:46,1.7357,2.9305,10.3508,0.1724,1.1136,0.1703,NORMAL
2026-08-02 23:48:47,1.7174,2.9171,10.3242,0.1596,1.1023,0.1618,NORMAL
2026-08-02 23:48:48,1.7582,2.9618,10.4424,0.1816,1.1291,0.1782,NORMAL
2026-08-02 23:48:49,1.7499,2.9226,10.2841,0.1757,1.1056,0.1852,NORMAL
2026-08-02 23:48:50,1.743,2.9675,10.4746,0.1849,1.139,0.1994,NORMAL
2026-08-02 23:48:52,1.734,2.9519,10.2449,0.1753,1.1302,0.1643,NORMAL
2026-08-02 23:48:53,1.7211,2.9399,10.4154,0.1645,1.1176,0.1753,NORMAL
2026-08-02 23:48:54,1.7584,3.0022,10.3648,0.1734,1.1435,0.1857,NORMAL
2026-08-02 23:48:55,1.7436,2.958,10.4163,0.1648,1.121,0.1627,NORMAL
2026-08-02 23:48:56,1.757,2.9898,10.3761,0.173,1.1399,0.1734,NORMAL
2026-08-02 23:48:57,1.7682,2.97,10.48,0.1822,1.1339,0.1658,NORMAL
2026-08-02 23:48:58,1.688,2.8897,10.3506,0.1894,1.1167,0.1957,NORMAL
2026-08-02 23:48:59,1.7626,2.9396,10.3774,0.1983,1.1289,0.1861,NORMAL
2026-08-02 23:49:00,1.7026,2.9273,10.3244,0.1808,1.1254,0.1698,NORMAL
2026-08-02 23:49:01,1.7381,2.9669,10.3458,0.1781,1.1327,0.178,NORMAL
2026-08-02 23:49:02,1.7323,2.9239,10.3945,0.1888,1.1224,0.1905,NORMAL
2026-08-02 23:49:03,1.6712,2.946,10.4793,0.1709,1.1502,0.1529,NORMAL
2026-08-02 23:49:04,1.6753,2.9376,10.3701,0.1589,1.1292,0.1665,NORMAL
2026-08-02 23:49:05,1.7185,2.9479,10.3728,0.1882,1.141,0.2138,NORMAL
2026-08-02 23:49:06,1.7907,2.9567,10.4389,0.1864,1.1175,0.1706,NORMAL
2026-08-02 23:49:07,1.7032,2.937,10.4379,0.1875,1.1372,0.1766,NORMAL
2026-08-02 23:49:08,1.7626,2.9658,10.4666,0.1873,1.1366,0.1972,NORMAL
2026-08-02 23:49:09,1.7481,2.9312,10.3855,0.1996,1.1286,0.176,NORMAL
2026-08-02 23:49:10,1.7909,3.008,10.4193,0.2096,1.1582,0.2192,NORMAL
2026-08-02 23:49:11,1.6925,2.9049,10.2486,0.1963,1.1327,0.1816,NORMAL
2026-08-02 23:49:12,1.7166,2.9252,10.4737,0.2013,1.1417,0.1827,NORMAL
2026-08-02 23:49:13,1.7973,3.0287,10.4842,0.2037,1.1637,0.1907,NORMAL
2026-08-02 23:49:14,1.7844,3.0169,10.4094,0.1708,1.1431,0.203,NORMAL
2026-08-02 23:49:15,1.7275,2.9529,10.3755,0.1862,1.1365,0.1997,NORMAL
2026-08-02 23:49:16,1.8415,3.0,10.4525,0.1996,1.1336,0.1721,NORMAL
2026-08-02 23:49:17,1.752,2.9673,10.4367,0.188,1.1392,0.1936,NORMAL
2026-08-02 23:49:18,1.6893,2.9451,10.4273,0.1848,1.1451,0.1762,NORMAL
2026-08-02 23:49:19,1.7645,2.9637,10.4336,0.1998,1.1402,0.191,NORMAL
2026-08-02 23:49:20,1.6872,2.9133,10.2189,0.1839,1.1299,0.1737,NORMAL
2026-08-02 23:49:21,1.7479,2.9616,10.4137,0.195,1.1405,0.1915,NORMAL
2026-08-02 23:49:22,1.8112,2.9813,10.4568,0.1964,1.1304,0.195,NORMAL
2026-08-02 23:49:23,1.7325,2.966,10.3935,0.1765,1.1392,0.1809,NORMAL
2026-08-02 23:49:24,1.7415,2.953,10.3655,0.1905,1.1404,0.1884,NORMAL
2026-08-02 23:49:25,1.7631,2.9772,10.3578,0.1803,1.1322,0.181,NORMAL
2026-08-02 23:49:26,1.8163,2.989,10.3339,0.1845,1.124,0.1886,NORMAL
2026-08-02 23:49:27,1.7987,2.962,10.4177,0.2005,1.1314,0.1906,NORMAL
2026-08-02 23:49:28,1.6944,2.9045,10.3664,0.1874,1.1268,0.2038,NORMAL
2026-08-02 23:49:29,1.7156,2.9592,10.4535,0.1812,1.1452,0.1886,NORMAL
2026-08-02 23:49:30,1.7332,2.9197,10.3843,0.2015,1.1299,0.1793,NORMAL
2026-08-02 23:49:31,1.7025,2.9078,10.4402,0.1769,1.1189,0.1787,NORMAL
2026-08-02 23:49:32,1.7493,2.9567,10.3838,0.1917,1.1389,0.1736,NORMAL
2026-08-02 23:49:33,1.6915,2.9293,10.3704,0.1794,1.134,0.1799,NORMAL
2026-08-02 23:49:34,1.6969,2.8952,10.3834,0.1891,1.1205,0.1737,NORMAL
2026-08-02 23:49:35,1.7329,2.9358,10.3731,0.1865,1.1273,0.1911,NORMAL
2026-08-02 23:49:36,1.7377,2.961,10.4671,0.1768,1.1317,0.181,NORMAL
2026-08-02 23:49:37,1.7043,2.8999,10.4416,0.1959,1.1215,0.1815,NORMAL
2026-08-02 23:49:38,1.6827,2.8956,10.3521,0.1796,1.1149,0.1634,NORMAL
2026-08-02 23:49:39,1.7708,2.962,10.4099,0.2035,1.1427,0.1924,NORMAL
2026-08-02 23:49:40,1.6185,2.8714,10.412,0.18,1.126,0.1755,NORMAL
2026-08-02 23:49:41,1.8264,3.0103,10.4554,0.1982,1.1477,0.1868,NORMAL
2026-08-02 23:49:42,1.7782,2.9681,10.3525,0.2018,1.138,0.1988,NORMAL
2026-08-02 23:49:43,1.7564,2.9531,10.5196,0.1847,1.1261,0.1792,NORMAL
2026-08-02 23:49:44,1.7309,2.9394,10.4476,0.1939,1.1352,0.1657,NORMAL
2026-08-02 23:49:45,1.654,2.9085,10.3501,0.1674,1.1248,0.1895,NORMAL
2026-08-02 23:49:46,1.6233,2.8828,10.4516,0.1778,1.1317,0.1888,NORMAL
2026-08-02 23:49:47,1.6848,2.9405,10.3172,0.1714,1.1392,0.1818,NORMAL
2026-08-02 23:49:48,1.693,2.9186,10.3807,0.1816,1.1277,0.1794,NORMAL
2026-08-02 23:49:49,1.7027,2.9135,10.4032,0.1625,1.1091,0.1735,NORMAL
2026-08-02 23:49:50,1.7134,2.9291,10.3649,0.1926,1.1311,0.1843,NORMAL
2026-08-02 23:49:51,1.667,2.936,10.3696,0.166,1.137,0.1715,NORMAL
2026-08-02 23:49:52,1.6858,2.8994,10.3154,0.1681,1.11,0.1687,NORMAL
2026-08-02 23:49:53,1.6528,2.9169,10.4244,0.1748,1.1361,0.1827,NORMAL
2026-08-02 23:49:54,1.6773,2.9192,10.3453,0.1679,1.1257,0.1598,NORMAL
2026-08-02 23:49:55,1.795,2.9577,10.4147,0.1806,1.1099,0.1853,NORMAL
2026-08-02 23:49:56,1.7334,2.9323,10.4305,0.1855,1.1235,0.1988,NORMAL
2026-08-02 23:49:57,1.6372,2.9035,10.4207,0.1815,1.1415,0.1794,NORMAL
2026-08-02 23:49:58,1.758,2.9371,10.3722,0.1797,1.1139,0.1739,NORMAL
2026-08-02 23:49:59,1.7187,2.9288,10.3468,0.1777,1.1218,0.1666,NORMAL
2026-08-02 23:50:00,1.6749,2.9124,10.407,0.175,1.1293,0.1991,NORMAL
2026-08-02 23:50:01,1.7091,2.9269,10.3507,0.1768,1.1269,0.173,NORMAL
2026-08-02 23:50:02,1.6693,2.8938,10.3072,0.174,1.1201,0.165,NORMAL
2026-08-02 23:50:03,1.6662,2.8998,10.3714,0.1634,1.1153,0.1659,NORMAL
2026-08-02 23:50:04,1.6407,2.8874,10.2922,0.1484,1.1072,0.1658,NORMAL
2026-08-02 23:50:05,1.6461,2.8394,10.4228,0.1762,1.0974,0.1644,NORMAL
2026-08-02 23:50:06,1.6896,2.9214,10.3509,0.17,1.1265,0.1619,NORMAL
2026-08-02 23:50:07,1.6448,2.8931,10.4283,0.1745,1.1293,0.1694,NORMAL
2026-08-02 23:50:08,1.6017,2.8588,10.321,0.1565,1.1136,0.1762,NORMAL
2026-08-02 23:50:09,1.624,2.8902,10.3452,0.157,1.1192,0.1614,NORMAL
2026-08-02 23:50:10,1.5887,2.8021,10.3282,0.1667,1.0918,0.1478,NORMAL
2026-08-02 23:50:11,1.728,2.9307,10.4091,0.1748,1.1141,0.1685,NORMAL
2026-08-02 23:50:12,1.596,2.8685,10.3151,0.1552,1.1167,0.1713,NORMAL
2026-08-02 23:50:13,1.6519,2.8891,10.3156,0.1749,1.1238,0.1512,NORMAL
2026-08-02 23:50:14,1.5651,2.7939,10.3135,0.1581,1.0915,0.1686,NORMAL
2026-08-02 23:50:15,1.6927,2.9364,10.3552,0.1651,1.1305,0.1618,NORMAL
2026-08-02 23:50:16,1.6555,2.8977,10.4113,0.1558,1.1121,0.1429,NORMAL
2026-08-02 23:50:17,1.5733,2.8444,10.2855,0.1375,1.0956,0.1541,NORMAL
2026-08-02 23:50:18,1.6185,2.8703,10.3933,0.1546,1.1108,0.1757,NORMAL
2026-08-02 23:50:19,1.6409,2.9013,10.3401,0.1709,1.1309,0.1811,NORMAL
2026-08-02 23:50:20,1.6012,2.8207,10.3487,0.16,1.0906,0.1653,NORMAL
2026-08-02 23:50:21,1.5601,2.8231,10.3812,0.1728,1.1195,0.1843,NORMAL
2026-08-02 23:50:22,1.5106,2.791,10.3217,0.1397,1.092,0.1443,NORMAL
2026-08-02 23:50:23,1.5954,2.8607,10.3555,0.1432,1.105,0.1487,NORMAL
2026-08-02 23:50:24,1.6368,2.9001,10.2364,0.1429,1.1125,0.151,NORMAL
2026-08-02 23:50:25,1.6464,2.8822,10.3379,0.1649,1.1144,0.1765,NORMAL
2026-08-02 23:50:26,1.6063,2.8008,10.3598,0.1651,1.082,0.194,NORMAL
2026-08-02 23:50:27,1.5656,2.8047,10.2461,0.1392,1.0834,0.1356,NORMAL
2026-08-02 23:50:28,1.5721,2.7906,10.2302,0.1456,1.0724,0.1368,NORMAL
2026-08-02 23:50:29,1.6673,2.8709,10.269,0.153,1.0953,0.1581,NORMAL
2026-08-02 23:50:30,1.5539,2.8184,10.3001,0.1316,1.0883,0.1344,NORMAL
2026-08-02 23:50:31,1.6105,2.8557,10.2949,0.148,1.0981,0.1297,NORMAL
2026-08-02 23:50:32,1.5859,2.8342,10.2676,0.1487,1.1001,0.128,NORMAL
2026-08-02 23:50:33,1.5723,2.8154,10.3275,0.144,1.0862,0.1466,NORMAL
2026-08-02 23:50:34,1.4791,2.7711,10.2006,0.112,1.0791,0.1492,NORMAL
2026-08-02 23:50:35,1.5494,2.83,10.2405,0.1191,1.0839,0.146,NORMAL
2026-08-02 23:50:36,1.5747,2.8412,10.1965,0.1364,1.0969,0.157,NORMAL
2026-08-02 23:50:37,1.6107,2.8608,10.3044,0.1501,1.1047,0.1614,NORMAL
2026-08-02 23:50:38,1.5589,2.8053,10.3,0.1387,1.0858,0.1342,NORMAL
2026-08-02 23:50:40,1.5177,2.7793,10.2624,0.1425,1.0896,0.1387,NORMAL
2026-08-02 23:50:41,1.555,2.7999,10.2713,0.1158,1.0663,0.1199,NORMAL
2026-08-02 23:50:42,1.5252,2.8281,10.3192,0.1192,1.096,0.124,NORMAL
2026-08-02 23:50:43,1.5472,2.7935,10.228,0.1359,1.0809,0.1247,NORMAL
2026-08-02 23:50:44,1.5588,2.7801,10.28,0.1387,1.0713,0.1273,NORMAL
2026-08-02 23:50:45,1.4841,2.7588,10.219,0.1096,1.0636,0.1169,NORMAL
2026-08-02 23:50:46,1.6025,2.8285,10.3265,0.1374,1.0778,0.1267,NORMAL
2026-08-02 23:50:47,1.5109,2.7872,10.1944,0.1231,1.0805,0.1266,NORMAL
2026-08-02 23:50:48,1.5594,2.7899,10.2716,0.133,1.0705,0.123,NORMAL
2026-08-02 23:50:49,1.554,2.7958,10.2544,0.1231,1.0692,0.1314,NORMAL
2026-08-02 23:50:50,1.4265,2.731,10.1883,0.1068,1.0667,0.1016,NORMAL
2026-08-02 23:50:51,1.497,2.7798,10.1771,0.1143,1.0716,0.1227,NORMAL
2026-08-02 23:50:52,1.553,2.8154,10.2892,0.1312,1.0864,0.1282,NORMAL
2026-08-02 23:50:53,1.4647,2.7515,10.1853,0.1179,1.0715,0.1402,NORMAL
2026-08-02 23:50:54,1.5639,2.8375,10.3077,0.1296,1.0958,0.1367,NORMAL
2026-08-02 23:50:55,1.4,2.6815,10.292,0.1199,1.0643,0.132,NORMAL
2026-08-02 23:50:56,1.5242,2.7944,10.1912,0.117,1.0727,0.1475,NORMAL
2026-08-02 23:50:57,1.4513,2.7422,10.1671,0.118,1.0738,0.1278,NORMAL
2026-08-02 23:50:58,1.4713,2.7283,10.2338,0.1175,1.0563,0.0997,NORMAL
2026-08-02 23:50:59,1.4679,2.7729,10.3264,0.1103,1.079,0.1333,NORMAL
2026-08-02 23:51:00,1.4283,2.733,10.2423,0.1096,1.0703,0.1292,NORMAL
2026-08-02 23:51:01,1.5256,2.7333,10.2851,0.1368,1.056,0.1388,NORMAL
2026-08-02 23:51:02,1.4655,2.7321,10.3038,0.1201,1.0688,0.1187,NORMAL
2026-08-02 23:51:03,1.4468,2.7154,10.0805,0.1118,1.0547,0.1239,NORMAL
2026-08-02 23:51:04,1.4198,2.7216,10.157,0.1214,1.0785,0.1221,NORMAL
2026-08-02 23:51:05,1.4142,2.7327,10.154,0.1144,1.0774,0.1331,NORMAL
2026-08-02 23:51:06,1.4778,2.7607,10.1744,0.1216,1.0782,0.1142,NORMAL
2026-08-02 23:51:07,1.4141,2.6997,10.1936,0.1157,1.0629,0.1131,NORMAL
2026-08-02 23:51:08,1.4674,2.7665,10.1816,0.1146,1.0816,0.1049,NORMAL
2026-08-02 23:51:09,1.4904,2.7785,10.1381,0.1164,1.0725,0.1264,NORMAL
2026-08-02 23:51:10,1.479,2.734,10.2339,0.1228,1.0643,0.1172,NORMAL
2026-08-02 23:51:11,1.4044,2.673,10.1366,0.099,1.0377,0.0924,NORMAL
2026-08-02 23:51:12,1.3873,2.6898,10.2601,0.1018,1.0577,0.1004,NORMAL
2026-08-02 23:51:13,1.4407,2.7525,10.2049,0.1143,1.08,0.1316,NORMAL
2026-08-02 23:51:14,1.4864,2.7153,10.1187,0.1233,1.0499,0.1171,NORMAL
2026-08-02 23:51:15,1.4901,2.7553,10.27,0.1127,1.0644,0.1182,NORMAL
2026-08-02 23:51:16,1.406,2.6817,10.147,0.1162,1.0537,0.1048,NORMAL
2026-08-02 23:51:17,1.4331,2.7082,10.1798,0.1047,1.0501,0.0894,NORMAL
2026-08-02 23:51:18,1.4746,2.7388,10.143,0.1188,1.0647,0.1192,NORMAL
2026-08-02 23:51:19,1.4636,2.7182,10.1898,0.1259,1.065,0.1339,NORMAL
2026-08-02 23:51:20,1.4425,2.7082,10.112,0.1085,1.0517,0.1169,NORMAL
2026-08-02 23:51:21,1.3388,2.6551,10.1293,0.1093,1.0633,0.1172,NORMAL
2026-08-02 23:51:22,1.4865,2.7653,10.0671,0.1063,1.0641,0.1228,NORMAL
2026-08-02 23:51:23,1.3511,2.7105,10.237,0.1059,1.0804,0.1295,NORMAL
2026-08-02 23:51:24,1.4283,2.7142,10.176,0.1197,1.0709,0.117,NORMAL
2026-08-02 23:51:25,1.4395,2.7083,10.1877,0.1188,1.0573,0.1361,NORMAL
2026-08-02 23:51:27,1.4429,2.7389,10.2456,0.1132,1.0737,0.1167,NORMAL
